TH    L256         L512           L1024

1     30.1120     120.2995      428.5705
2     15.0128     57.6853       221.8352
4     7.8118      30.2674       118.8273
6     7.4395      28.5655       113.7873
8     5.8702      21.9975       86.9905
10    17.1921     39.2813       144.6674
12    19.2079     38.5291       128.8619
16    22.0363     40.8077       120.8835
